Date,Open,High,Low,Close
12/29/2023,"15,099.20","15,111.41","14,955.37","15,011.35"
12/28/2023,"15,142.10","15,150.07","15,087.22","15,095.14"
12/27/2023,"15,089.66","15,114.08","15,051.67","15,099.18"
12/26/2023,"15,028.69","15,101.18","15,024.06","15,074.57"
12/22/2023,"15,006.18","15,047.19","14,927.12","14,992.97"
12/21/2023,"14,923.14","14,970.81","14,837.47","14,963.87"
12/20/2023,"14,973.36","15,069.29","14,776.29","14,777.94"
12/19/2023,"14,923.02","15,003.80","14,921.60","15,003.22"
12/18/2023,"14,814.02","14,938.04","14,811.82","14,904.81"
12/15/2023,"14,797.46","14,848.41","14,753.16","14,813.92"
12/14/2023,"14,798.72","14,855.62","14,642.23","14,761.56"
12/13/2023,"14,555.68","14,743.56","14,517.53","14,733.96"
12/12/2023,"14,423.01","14,533.40","14,385.39","14,533.40"
12/11/2023,"14,340.13","14,436.08","14,324.57","14,432.49"
12/08/2023,"14,279.46","14,416.92","14,264.96","14,403.97"
12/07/2023,"14,230.44","14,353.11","14,220.87","14,339.99"
12/06/2023,"14,325.62","14,327.64","14,138.51","14,146.71"
12/05/2023,"14,126.40","14,285.66","14,121.76","14,229.91"
12/04/2023,"14,168.66","14,197.52","14,058.52","14,185.49"
12/01/2023,"14,181.36","14,311.95","14,135.00","14,305.03"
11/30/2023,"14,265.05","14,289.20","14,127.06","14,226.22"
11/29/2023,"14,367.11","14,423.22","14,247.89","14,258.49"
11/28/2023,"14,224.63","14,303.66","14,195.72","14,281.76"
11/27/2023,"14,239.31","14,305.71","14,205.24","14,241.02"
11/24/2023,"14,238.04","14,270.28","14,214.13","14,250.85"
11/22/2023,"14,283.82","14,359.61","14,226.63","14,265.86"
11/21/2023,"14,217.23","14,237.50","14,146.31","14,199.98"
11/20/2023,"14,134.75","14,309.80","14,134.20","14,284.53"
11/17/2023,"14,101.44","14,154.32","14,063.93","14,125.48"
11/16/2023,"14,066.88","14,130.45","14,033.79","14,113.67"
11/15/2023,"14,147.27","14,194.36","14,060.70","14,103.84"
11/14/2023,"14,015.37","14,124.06","14,003.14","14,094.38"
11/13/2023,"13,745.96","13,805.11","13,687.78","13,767.74"
11/10/2023,"13,571.19","13,802.53","13,556.35","13,798.11"
11/09/2023,"13,693.70","13,697.82","13,506.02","13,521.45"
11/08/2023,"13,660.22","13,684.87","13,573.58","13,650.41"
11/07/2023,"13,555.79","13,675.46","13,516.56","13,639.86"
11/06/2023,"13,514.08","13,551.62","13,435.99","13,518.78"
11/03/2023,"13,362.85","13,520.28","13,344.73","13,478.28"
11/02/2023,"13,230.49","13,302.18","13,177.64","13,294.19"
11/01/2023,"12,887.06","13,072.43","12,875.20","13,061.47"
10/31/2023,"12,786.62","12,859.40","12,697.04","12,851.24"
10/30/2023,"12,750.47","12,842.96","12,691.56","12,789.48"
10/27/2023,"12,718.69","12,772.43","12,600.57","12,643.01"
10/26/2023,"12,768.97","12,818.14","12,543.86","12,595.61"
10/25/2023,"13,039.86","13,042.52","12,804.30","12,821.22"
10/24/2023,"13,084.99","13,170.39","13,022.85","13,139.87"
10/23/2023,"12,930.85","13,143.23","12,848.83","13,018.33"
