Date,Open,High,Low,Close
12/31/1997,"1,565.87","1,579.68","1,561.14","1,570.35"
12/30/1997,"1,539.55","1,565.48","1,539.55","1,565.03"
12/29/1997,"1,521.79","1,537.52","1,521.67","1,537.45"
12/26/1997,"1,501.15","1,511.38","1,501.15","1,511.38"
12/24/1997,"1,516.66","1,517.51","1,497.88","1,499.53"
12/23/1997,"1,531.60","1,532.84","1,509.80","1,509.91"
12/22/1997,"1,533.46","1,544.27","1,526.82","1,532.06"
12/19/1997,"1,506.86","1,525.64","1,486.51","1,524.74"
12/18/1997,"1,548.67","1,549.25","1,516.81","1,523.19"
12/17/1997,"1,563.53","1,568.54","1,546.69","1,547.37"
12/16/1997,"1,541.25","1,560.98","1,540.98","1,553.00"
12/15/1997,"1,540.41","1,541.54","1,515.69","1,536.56"
12/12/1997,"1,564.06","1,566.71","1,533.79","1,536.58"
12/11/1997,"1,577.55","1,577.55","1,550.76","1,558.54"
12/10/1997,"1,611.88","1,611.88","1,585.15","1,596.61"
12/09/1997,"1,636.97","1,637.66","1,620.00","1,620.55"
12/08/1997,"1,639.39","1,652.65","1,639.00","1,651.54"
12/05/1997,"1,608.03","1,633.91","1,608.03","1,633.90"
12/04/1997,"1,621.72","1,624.64","1,610.68","1,613.42"
12/03/1997,"1,603.99","1,615.14","1,591.05","1,615.13"
12/02/1997,"1,625.48","1,625.96","1,605.38","1,606.37"
12/01/1997,"1,608.56","1,630.72","1,608.56","1,630.72"
11/28/1997,"1,595.84","1,604.14","1,594.78","1,600.55"
11/26/1997,"1,593.57","1,597.79","1,591.55","1,594.50"
11/25/1997,"1,593.30","1,596.56","1,580.27","1,589.04"
11/24/1997,"1,612.94","1,613.15","1,584.74","1,586.99"
11/21/1997,"1,636.58","1,637.26","1,616.50","1,620.75"
11/20/1997,"1,607.66","1,627.30","1,607.66","1,626.56"
11/19/1997,"1,596.29","1,602.98","1,594.13","1,601.22"
11/18/1997,"1,614.67","1,616.14","1,600.44","1,600.44"
11/17/1997,"1,601.95","1,618.19","1,601.95","1,614.11"
11/14/1997,"1,565.68","1,584.55","1,562.75","1,583.51"
11/13/1997,"1,554.79","1,559.25","1,526.85","1,559.25"
11/12/1997,"1,570.27","1,576.89","1,541.14","1,541.72"
11/11/1997,"1,594.45","1,596.18","1,580.73","1,584.86"
11/10/1997,"1,609.77","1,616.58","1,589.92","1,590.72"
11/07/1997,"1,597.27","1,611.05","1,587.31","1,602.40"
11/06/1997,"1,638.14","1,638.14","1,622.42","1,623.44"
11/05/1997,"1,639.94","1,644.42","1,634.12","1,637.33"
11/04/1997,"1,627.24","1,634.29","1,622.46","1,631.15"
11/03/1997,"1,609.62","1,630.16","1,609.62","1,629.98"
10/31/1997,"1,594.12","1,599.04","1,579.07","1,593.61"
10/30/1997,"1,572.89","1,596.22","1,564.65","1,570.41"
10/29/1997,"1,614.59","1,624.92","1,598.48","1,602.75"
10/28/1997,"1,484.72","1,603.02","1,465.84","1,603.02"
10/27/1997,"1,633.92","1,633.92","1,532.54","1,535.09"
10/24/1997,"1,686.07","1,690.77","1,643.10","1,650.92"
10/23/1997,"1,676.29","1,683.38","1,664.32","1,671.25"
10/22/1997,"1,716.49","1,717.02","1,704.83","1,708.08"
10/21/1997,"1,699.76","1,712.64","1,699.76","1,712.54"
10/20/1997,"1,675.16","1,685.48","1,667.62","1,685.45"
10/17/1997,"1,690.53","1,691.57","1,646.04","1,666.85"
10/16/1997,"1,730.85","1,731.58","1,692.34","1,699.66"
10/15/1997,"1,715.30","1,725.35","1,713.91","1,723.37"
10/14/1997,"1,744.83","1,746.12","1,723.35","1,732.79"
10/13/1997,"1,744.88","1,747.85","1,739.92","1,742.12"
10/10/1997,"1,739.20","1,743.88","1,736.50","1,739.03"
10/09/1997,"1,734.99","1,748.62","1,731.52","1,745.85"
10/08/1997,"1,739.91","1,741.77","1,728.04","1,741.77"
10/07/1997,"1,725.85","1,737.78","1,724.81","1,737.27"
10/06/1997,"1,722.39","1,723.65","1,716.80","1,721.91"
10/03/1997,"1,718.17","1,725.85","1,706.23","1,715.87"
10/02/1997,"1,693.34","1,702.41","1,692.11","1,702.41"
10/01/1997,"1,690.79","1,695.89","1,681.22","1,690.30"
09/30/1997,"1,691.18","1,694.01","1,685.51","1,685.69"
09/29/1997,"1,685.30","1,695.02","1,680.80","1,694.98"
09/26/1997,"1,686.00","1,688.87","1,677.76","1,682.24"
09/25/1997,"1,685.78","1,688.58","1,677.57","1,678.89"
09/24/1997,"1,700.69","1,702.49","1,686.07","1,687.41"
09/23/1997,"1,691.98","1,697.36","1,686.38","1,697.36"
09/22/1997,"1,684.31","1,697.09","1,684.31","1,689.45"
09/19/1997,"1,668.87","1,686.45","1,666.91","1,680.36"
09/18/1997,"1,671.57","1,679.99","1,667.71","1,670.02"
09/17/1997,"1,673.66","1,675.26","1,663.95","1,666.47"
09/16/1997,"1,643.79","1,669.01","1,643.79","1,668.60"
09/15/1997,"1,649.76","1,654.59","1,634.89","1,634.92"
09/12/1997,"1,642.98","1,649.64","1,633.98","1,649.33"
09/11/1997,"1,635.31","1,640.69","1,620.86","1,639.86"
09/10/1997,"1,655.67","1,656.17","1,639.25","1,639.25"
09/09/1997,"1,646.59","1,658.75","1,645.83","1,656.22"
09/08/1997,"1,641.72","1,648.51","1,641.72","1,645.35"
09/05/1997,"1,633.01","1,639.72","1,628.23","1,635.77"
09/04/1997,"1,618.00","1,625.99","1,617.77","1,624.63"
09/03/1997,"1,619.96","1,629.40","1,616.40","1,618.24"
09/02/1997,"1,595.07","1,618.12","1,595.07","1,618.09"
08/29/1997,"1,580.00","1,591.01","1,579.24","1,587.32"
08/28/1997,"1,586.10","1,591.69","1,572.58","1,581.32"
08/27/1997,"1,593.73","1,598.16","1,583.17","1,595.54"
08/26/1997,"1,596.04","1,601.74","1,591.26","1,591.30"
08/25/1997,"1,601.11","1,610.96","1,596.56","1,601.57"
08/22/1997,"1,581.68","1,598.75","1,574.77","1,598.69"
08/21/1997,"1,626.88","1,627.15","1,605.82","1,607.36"
08/20/1997,"1,603.29","1,628.70","1,599.11","1,628.70"
08/19/1997,"1,579.38","1,600.71","1,578.03","1,600.71"
08/18/1997,"1,563.45","1,569.53","1,545.50","1,569.52"
08/15/1997,"1,583.27","1,583.27","1,562.02","1,562.03"
08/14/1997,"1,587.12","1,590.27","1,578.29","1,586.69"
08/13/1997,"1,594.25","1,596.90","1,571.92","1,583.40"
08/12/1997,"1,592.65","1,601.15","1,576.19","1,576.24"
08/11/1997,"1,599.16","1,600.47","1,570.63","1,586.74"
08/08/1997,"1,612.37","1,614.86","1,586.86","1,598.52"
08/07/1997,"1,637.14","1,638.32","1,623.80","1,624.18"
08/06/1997,"1,623.24","1,635.03","1,617.39","1,630.44"
08/05/1997,"1,610.21","1,621.61","1,609.38","1,621.53"
08/04/1997,"1,593.09","1,605.51","1,590.73","1,605.45"
08/01/1997,"1,594.67","1,598.71","1,580.87","1,594.33"
07/31/1997,"1,591.56","1,595.60","1,585.09","1,593.81"
07/30/1997,"1,573.13","1,589.42","1,570.79","1,588.05"
07/29/1997,"1,560.47","1,572.32","1,558.11","1,572.32"
