Date,Open,High,Low,Close
12/31/2019,"8,918.74","8,975.35","8,912.77","8,972.60"
12/30/2019,"9,004.45","9,006.36","8,909.20","8,945.99"
12/27/2019,"9,049.47","9,052.00","8,987.32","9,006.62"
12/26/2019,"8,970.21","9,022.46","8,968.45","9,022.39"
12/24/2019,"8,955.01","8,957.12","8,934.36","8,952.88"
12/23/2019,"8,950.20","8,956.64","8,934.55","8,945.65"
12/20/2019,"8,911.84","8,931.91","8,901.87","8,924.96"
12/19/2019,"8,838.97","8,888.13","8,838.97","8,887.22"
12/18/2019,"8,834.65","8,848.76","8,820.42","8,827.73"
12/17/2019,"8,829.47","8,831.99","8,804.60","8,823.36"
12/16/2019,"8,791.31","8,833.45","8,789.77","8,814.23"
12/13/2019,"8,713.91","8,768.87","8,697.58","8,734.88"
12/12/2019,"8,645.36","8,745.82","8,633.60","8,717.32"
12/11/2019,"8,631.12","8,658.48","8,622.36","8,654.05"
12/10/2019,"8,623.56","8,650.76","8,600.82","8,616.18"
12/09/2019,"8,650.86","8,678.85","8,619.77","8,621.83"
12/06/2019,"8,634.25","8,665.44","8,630.57","8,656.53"
12/05/2019,"8,587.93","8,588.89","8,541.92","8,570.70"
12/04/2019,"8,557.45","8,584.88","8,552.38","8,566.67"
12/03/2019,"8,460.72","8,523.98","8,435.40","8,520.64"
12/02/2019,"8,672.85","8,672.84","8,540.16","8,567.99"
11/29/2019,"8,682.01","8,697.32","8,664.04","8,665.47"
11/27/2019,"8,669.59","8,705.91","8,662.58","8,705.18"
11/26/2019,"8,635.40","8,659.73","8,625.63","8,647.93"
11/25/2019,"8,559.65","8,633.15","8,559.65","8,632.49"
11/22/2019,"8,530.54","8,535.46","8,477.49","8,519.88"
11/21/2019,"8,527.87","8,530.73","8,487.29","8,506.21"
11/20/2019,"8,543.57","8,578.27","8,468.63","8,526.73"
11/19/2019,"8,578.02","8,589.76","8,536.73","8,570.66"
11/18/2019,"8,529.16","8,559.78","8,503.63","8,549.94"
11/15/2019,"8,524.48","8,540.83","8,506.80","8,540.83"
11/14/2019,"8,461.06","8,485.36","8,441.58","8,479.02"
11/13/2019,"8,455.02","8,496.90","8,451.34","8,482.10"
11/12/2019,"8,471.07","8,514.84","8,462.99","8,486.09"
11/11/2019,"8,431.26","8,467.29","8,425.48","8,464.28"
11/08/2019,"8,422.67","8,475.57","8,405.89","8,475.31"
11/07/2019,"8,455.11","8,483.16","8,415.87","8,434.52"
11/06/2019,"8,426.57","8,426.57","8,379.32","8,410.63"
11/05/2019,"8,446.62","8,457.40","8,421.06","8,434.68"
11/04/2019,"8,445.50","8,451.37","8,421.30","8,433.20"
11/01/2019,"8,335.05","8,386.75","8,326.56","8,386.40"
10/31/2019,"8,314.38","8,321.80","8,248.81","8,292.36"
10/30/2019,"8,284.28","8,315.50","8,241.70","8,303.98"
10/29/2019,"8,313.35","8,319.29","8,275.14","8,276.85"
10/28/2019,"8,285.77","8,335.56","8,285.27","8,325.99"
10/25/2019,"8,150.59","8,249.97","8,150.59","8,243.12"
10/24/2019,"8,180.04","8,187.84","8,137.66","8,185.80"
10/23/2019,"8,090.24","8,122.88","8,078.35","8,119.79"
10/22/2019,"8,188.12","8,194.62","8,101.98","8,104.30"
10/21/2019,"8,137.42","8,164.14","8,117.26","8,162.99"
10/18/2019,"8,149.85","8,157.36","8,045.38","8,089.54"
10/17/2019,"8,176.91","8,183.64","8,131.25","8,156.85"
10/16/2019,"8,119.81","8,146.15","8,103.38","8,124.18"
10/15/2019,"8,074.85","8,166.18","8,071.81","8,148.71"
10/14/2019,"8,044.35","8,069.85","8,036.41","8,048.65"
10/11/2019,"8,047.34","8,115.80","8,046.80","8,057.04"
