Date,Open,High,Low,Close
12/31/1993,"770.54","776.84","770.93","776.80"
12/30/1993,"769.06","771.10","768.26","771.08"
12/29/1993,"764.10","768.48","764.40","768.48"
12/28/1993,"762.03","764.57","760.50","764.56"
12/27/1993,"758.92","761.06","758.37","761.06"
12/23/1993,"757.02","758.78","757.37","758.70"
12/22/1993,"754.98","756.09","752.67","756.07"
12/21/1993,"759.86","762.21","755.63","755.63"
12/20/1993,"759.61","760.15","760.15","760.15"
12/17/1993,"757.17","759.58","758.16","759.23"
12/16/1993,"753.20","755.82","754.14","755.53"
12/15/1993,"751.81","752.97","750.61","752.97"
12/14/1993,"759.86","759.54","751.29","751.47"
12/13/1993,"760.95","759.72","757.56","759.72"
12/10/1993,"761.84","761.00","758.19","760.74"
12/09/1993,"766.40","765.26","761.11","761.49"
12/08/1993,"768.13","767.89","766.37","767.89"
12/07/1993,"771.54","771.54","767.87","769.35"
12/06/1993,"767.20","771.12","766.49","771.09"
12/03/1993,"768.82","772.23","769.27","772.22"
12/02/1993,"764.80","766.73","762.58","766.73"
12/01/1993,"757.40","763.87","759.28","763.81"
11/30/1993,"751.35","754.41","749.42","754.39"
11/29/1993,"755.36","756.02","751.54","751.54"
11/26/1993,"753.70","754.87","753.91","754.87"
11/24/1993,"748.09","753.18","749.85","753.18"
11/23/1993,"740.35","746.82","740.52","746.82"
11/22/1993,"749.38","746.42","738.13","738.13"
11/19/1993,"752.49","754.88","750.79","751.56"
11/18/1993,"763.31","761.10","753.76","754.34"
11/17/1993,"772.61","773.12","762.04","762.36"
11/16/1993,"772.53","772.37","767.44","771.69"
11/15/1993,"779.99","779.42","772.45","772.45"
11/12/1993,"779.54","780.01","778.26","779.32"
11/11/1993,"777.45","778.98","778.98","778.98"
11/10/1993,"772.05","776.52","770.56","776.50"
11/09/1993,"769.63","774.09","769.75","769.84"
11/08/1993,"764.30","767.64","761.83","766.21"
11/05/1993,"755.26","762.99","749.18","762.99"
11/04/1993,"772.56","770.22","757.22","757.26"
11/03/1993,"786.10","785.15","772.25","772.95"
11/02/1993,"784.55","785.66","780.33","785.66"
11/01/1993,"779.78","783.77","779.59","783.77"
10/29/1993,"773.75","779.26","774.80","779.26"
10/28/1993,"771.16","776.42","771.44","773.49"
10/27/1993,"766.05","771.88","771.88","771.88"
10/26/1993,"770.00","769.58","763.35","765.46"
10/25/1993,"773.67","774.26","768.04","769.75"
10/22/1993,"772.11","772.69","772.69","772.68"
10/21/1993,"767.74","771.28","771.28","771.28"
10/20/1993,"770.51","771.73","767.43","768.25"
10/19/1993,"782.33","781.45","768.29","768.71"
10/18/1993,"788.42","789.11","782.87","782.91"
10/15/1993,"787.92","790.56","785.93","787.42"
10/14/1993,"780.28","785.50","781.78","785.41"
10/13/1993,"774.20","778.97","778.97","778.97"
10/12/1993,"770.26","772.57","771.16","772.46"
10/11/1993,"765.45","767.66","764.81","767.65"
10/08/1993,"763.50","764.65","759.18","764.27"
10/07/1993,"765.29","765.03","761.58","762.49"
10/06/1993,"763.11","767.36","764.77","764.77"
10/05/1993,"765.71","767.20","759.96","762.27"
10/04/1993,"763.19","765.11","763.49","764.84"
10/01/1993,"762.52","763.23","763.23","763.23"
09/30/1993,"762.87","762.79","760.17","762.78"
09/29/1993,"764.62","766.06","762.37","763.17"
09/28/1993,"760.73","763.67","759.67","763.66"
09/27/1993,"756.45","759.95","757.37","759.95"
