Date,Open,High,Low,Close
12/30/1994,"749.26","751.97","746.93","751.96"
12/29/1994,"742.97","749.53","743.04","749.53"
12/28/1994,"746.39","744.82","740.79","742.46"
12/27/1994,"743.60","746.20","744.29","746.19"
12/23/1994,"739.03","743.12","739.51","742.19"
12/22/1994,"737.26","739.35","737.91","739.34"
12/21/1994,"729.72","737.12","731.05","737.12"
12/20/1994,"729.57","730.44","726.48","728.51"
12/19/1994,"728.75","729.10","727.06","727.89"
12/16/1994,"730.83","731.19","729.06","729.07"
12/15/1994,"727.04","730.68","727.49","730.68"
12/14/1994,"719.10","725.67","720.09","725.67"
12/13/1994,"719.92","720.38","718.42","719.49"
12/12/1994,"719.24","720.37","712.99","719.12"
12/09/1994,"719.26","719.08","712.38","719.05"
12/08/1994,"734.74","735.42","719.12","719.12"
12/07/1994,"740.24","739.46","734.24","734.27"
12/06/1994,"744.61","745.06","741.23","741.23"
12/05/1994,"745.53","747.81","745.55","745.71"
12/02/1994,"741.99","745.03","740.08","745.02"
12/01/1994,"748.83","748.45","740.61","741.19"
11/30/1994,"751.44","754.11","749.57","750.32"
11/29/1994,"746.47","751.48","746.18","751.48"
11/28/1994,"743.08","745.73","743.15","745.73"
11/25/1994,"737.22","742.52","738.65","742.52"
11/23/1994,"738.33","736.70","729.40","736.70"
11/22/1994,"756.57","753.90","741.21","741.21"
11/21/1994,"767.03","767.76","757.74","757.74"
11/18/1994,"766.57","766.74","763.10","764.67"
11/17/1994,"770.35","770.28","764.17","765.84"
11/16/1994,"769.73","770.84","768.58","769.64"
11/15/1994,"768.73","771.17","767.02","769.02"
11/14/1994,"763.61","768.18","764.35","768.14"
11/11/1994,"763.94","765.09","761.76","762.12"
11/10/1994,"766.50","768.36","764.31","764.38"
11/09/1994,"770.77","774.03","766.67","767.25"
11/08/1994,"762.61","767.55","763.44","767.54"
11/07/1994,"772.70","764.60","762.09","762.31"
11/04/1994,"772.70","766.08","766.08","766.08"
11/03/1994,"772.61","773.25","771.01","772.10"
11/02/1994,"772.26","776.24","771.51","771.82"
11/01/1994,"776.25","774.12","771.31","772.19"
10/31/1994,"775.87","778.63","774.79","777.49"
10/28/1994,"767.78","776.15","767.64","776.15"
10/27/1994,"763.78","767.47","764.87","767.47"
10/26/1994,"759.07","763.24","759.26","763.24"
10/25/1994,"757.23","758.26","754.98","758.26"
10/24/1994,"766.22","766.97","761.21","761.21"
10/21/1994,"767.44","766.59","763.74","765.38"
10/20/1994,"771.83","772.08","765.75","768.24"
10/19/1994,"765.45","770.95","764.55","770.62"
10/18/1994,"766.74","766.80","763.56","764.81"
10/17/1994,"767.07","767.68","765.36","765.78"
10/14/1994,"768.35","767.08","764.90","767.08"
10/13/1994,"770.10","774.61","767.89","767.89"
10/12/1994,"765.32","767.69","764.97","767.00"
10/11/1994,"758.37","765.94","761.51","765.57"
10/10/1994,"751.33","756.81","753.02","756.81"
10/07/1994,"745.23","749.96","749.96","749.96"
10/06/1994,"747.95","747.72","743.89","744.19"
10/05/1994,"746.19","746.28","738.17","746.28"
10/04/1994,"761.04","761.12","747.30","747.30"
10/03/1994,"764.47","764.36","760.78","760.88"
09/30/1994,"760.34","764.63","759.99","764.29"
09/29/1994,"759.70","759.35","756.58","759.34"
09/28/1994,"756.12","760.62","757.23","760.01"
09/27/1994,"755.14","756.05","753.89","755.37"
09/26/1994,"756.95","756.16","752.86","755.63"
09/23/1994,"759.88","761.84","756.99","757.46"
09/22/1994,"761.80","760.44","760.44","760.44"
09/21/1994,"767.13","765.62","758.56","760.71"
09/20/1994,"775.82","773.27","766.74","766.74"
09/19/1994,"778.13","778.84","776.72","776.72"
09/16/1994,"777.73","777.91","774.27","777.91"
09/15/1994,"768.41","778.66","769.70","778.66"
09/14/1994,"766.28","768.61","765.42","768.61"
09/13/1994,"761.86","765.83","763.66","765.83"
09/12/1994,"763.56","762.59","759.28","760.01"
09/09/1994,"766.21","764.39","761.98","763.73"
09/08/1994,"764.74","769.40","765.62","769.30"
09/07/1994,"760.51","764.28","760.39","764.28"
09/06/1994,"759.01","759.48","757.78","759.48"
09/02/1994,"759.52","761.20","758.68","759.23"
09/01/1994,"763.00","760.33","757.70","758.95"
08/31/1994,"765.73","767.03","765.14","765.62"
08/30/1994,"762.70","766.46","761.61","766.46"
08/29/1994,"763.44","765.97","763.11","763.21"
08/26/1994,"756.50","764.20","757.82","762.94"
08/25/1994,"752.19","756.18","751.57","754.80"
08/24/1994,"748.13","751.73","748.03","751.72"
08/23/1994,"743.32","749.44","743.71","747.98"
08/22/1994,"741.76","742.68","740.61","742.29"
08/19/1994,"743.46","742.88","740.39","742.43"
08/18/1994,"742.27","744.51","740.80","742.17"
08/17/1994,"737.01","742.67","738.98","742.66"
08/16/1994,"733.39","735.64","730.83","735.51"
08/15/1994,"732.11","733.11","730.67","732.89"
08/12/1994,"729.43","731.61","729.11","731.61"
08/11/1994,"727.64","731.66","725.28","728.20"
08/10/1994,"722.87","728.20","722.99","728.20"
08/09/1994,"720.46","722.61","720.11","722.61"
08/08/1994,"717.73","720.47","718.46","720.47"
08/05/1994,"718.66","718.67","716.02","718.67"
08/04/1994,"724.41","724.74","719.97","720.18"
08/03/1994,"725.28","725.28","723.69","723.69"
08/02/1994,"725.33","727.96","723.80","724.80"
08/01/1994,"722.84","724.87","722.95","724.85"
07/29/1994,"713.93","722.16","716.33","722.16"
07/28/1994,"712.06","714.22","712.43","712.43"
07/27/1994,"715.80","712.13","712.13","712.13"
07/26/1994,"717.10","716.28","714.67","715.66"
07/25/1994,"716.66","716.88","716.88","716.88"
07/22/1994,"716.76","716.87","714.32","716.68"
07/21/1994,"713.32","715.03","715.03","715.03"
07/20/1994,"719.57","717.48","711.46","712.77"
07/19/1994,"722.70","722.80","719.18","719.32"
07/18/1994,"722.30","722.63","720.22","722.62"
07/15/1994,"721.56","721.56","719.76","721.36"
07/14/1994,"720.35","724.44","721.56","721.56"
07/13/1994,"710.88","719.36","714.10","719.35"
07/12/1994,"707.32","709.59","703.83","709.59"
07/11/1994,"708.46","709.31","703.81","706.83"
07/08/1994,"705.60","708.87","704.40","707.46"
07/07/1994,"701.48","706.53","701.06","706.53"
07/06/1994,"702.47","702.06","699.67","701.00"
07/05/1994,"706.73","706.71","703.59","703.59"
07/01/1994,"706.29","706.85","704.03","706.85"
06/30/1994,"705.75","706.48","702.60","705.96"
06/29/1994,"702.58","707.83","703.08","704.01"
06/28/1994,"704.13","704.73","698.44","702.05"
06/27/1994,"694.16","702.69","691.23","702.68"
06/24/1994,"699.78","698.78","693.79","693.79"
06/23/1994,"712.91","713.67","700.85","700.85"
06/22/1994,"710.52","714.42","712.14","712.74"
06/21/1994,"716.42","714.40","706.48","708.79"
06/20/1994,"726.45","723.18","718.39","718.85"
06/17/1994,"734.57","735.31","729.08","729.35"
06/16/1994,"735.74","734.97","733.44","734.97"
06/15/1994,"736.19","737.83","734.76","735.84"
06/14/1994,"733.63","736.33","733.55","735.98"
06/13/1994,"733.96","734.14","731.70","731.70"
06/10/1994,"730.44","734.25","730.66","734.25"
06/09/1994,"729.93","729.88","727.47","728.88"
06/08/1994,"740.28","739.74","729.21","729.79"
06/07/1994,"742.34","742.51","739.30","739.30"
06/06/1994,"743.00","744.73","742.44","743.43"
06/03/1994,"739.82","743.40","738.27","742.38"
06/02/1994,"736.76","739.51","736.29","739.50"
06/01/1994,"735.01","735.52","731.07","735.52"
05/31/1994,"732.71","735.19","730.78","735.19"
05/27/1994,"731.44","733.14","729.96","733.14"
05/26/1994,"732.67","734.30","730.61","731.64"
05/25/1994,"731.16","732.53","727.78","732.07"
05/24/1994,"726.58","731.88","727.73","731.47"
05/23/1994,"727.25","726.37","723.61","724.95"
05/20/1994,"727.22","727.21","725.17","726.70"
05/19/1994,"723.23","728.63","723.10","727.31"
05/18/1994,"714.62","722.21","715.58","721.90"
05/17/1994,"712.14","711.52","703.84","711.52"
05/16/1994,"716.90","716.36","711.36","711.91"
05/13/1994,"719.89","719.14","714.12","716.92"
