Date,Open,High,Low,Close
12/31/2021,"15,722.91","15,777.43","15,643.94","15,644.97"
12/30/2021,"15,758.98","15,868.09","15,729.16","15,741.56"
12/29/2021,"15,794.92","15,821.81","15,679.85","15,766.22"
12/28/2021,"15,895.20","15,901.47","15,757.07","15,781.72"
12/27/2021,"15,696.83","15,871.40","15,696.83","15,871.26"
12/23/2021,"15,544.79","15,697.98","15,528.91","15,653.37"
12/22/2021,"15,319.16","15,525.97","15,303.06","15,521.89"
12/21/2021,"15,140.43","15,349.06","15,015.03","15,341.09"
12/20/2021,"14,933.00","15,007.30","14,860.04","14,980.94"
12/17/2021,"15,036.77","15,288.78","14,960.37","15,169.68"
12/16/2021,"15,629.08","15,633.19","15,119.49","15,180.43"
12/15/2021,"15,230.71","15,575.76","15,055.23","15,565.58"
12/14/2021,"15,215.96","15,317.55","15,097.35","15,237.64"
12/13/2021,"15,621.27","15,637.06","15,408.25","15,413.28"
12/10/2021,"15,629.59","15,677.60","15,477.85","15,630.60"
12/09/2021,"15,720.54","15,796.05","15,511.12","15,517.37"
12/08/2021,"15,690.65","15,792.64","15,618.88","15,786.99"
12/07/2021,"15,510.91","15,720.09","15,507.66","15,686.92"
12/06/2021,"15,117.63","15,281.99","14,931.61","15,225.15"
12/03/2021,"15,428.71","15,470.36","14,931.06","15,085.47"
12/02/2021,"15,181.82","15,444.54","15,150.12","15,381.32"
12/01/2021,"15,752.27","15,816.82","15,243.93","15,254.05"
11/30/2021,"15,716.50","15,828.20","15,451.39","15,537.69"
11/29/2021,"15,719.42","15,833.11","15,644.62","15,782.83"
11/26/2021,"15,664.38","15,731.54","15,456.09","15,491.66"
11/24/2021,"15,677.88","15,848.56","15,591.36","15,845.23"
11/23/2021,"15,809.50","15,895.86","15,601.46","15,775.14"
11/22/2021,"16,120.92","16,212.23","15,851.04","15,854.76"
11/19/2021,"16,042.16","16,121.12","16,017.23","16,057.44"
11/18/2021,"15,973.40","16,010.88","15,848.83","15,993.71"
11/17/2021,"15,973.62","15,998.57","15,909.39","15,921.57"
11/16/2021,"15,840.32","15,989.61","15,825.00","15,973.86"
11/15/2021,"15,894.82","15,918.45","15,778.31","15,853.85"
11/12/2021,"15,752.62","15,874.58","15,705.38","15,860.96"
11/11/2021,"15,752.08","15,768.03","15,695.77","15,704.28"
11/10/2021,"15,753.84","15,867.24","15,543.68","15,622.71"
11/09/2021,"16,024.13","16,035.21","15,836.68","15,886.54"
11/08/2021,"15,995.72","16,038.23","15,961.81","15,982.36"
11/05/2021,"16,003.56","16,053.39","15,900.78","15,971.59"
11/04/2021,"15,849.74","15,966.09","15,827.66","15,940.31"
11/03/2021,"15,658.52","15,821.58","15,616.44","15,811.58"
11/02/2021,"15,583.99","15,656.60","15,569.27","15,649.60"
11/01/2021,"15,541.26","15,598.95","15,470.82","15,595.92"
10/29/2021,"15,323.29","15,504.12","15,323.29","15,498.39"
10/28/2021,"15,304.74","15,452.30","15,290.31","15,448.12"
10/27/2021,"15,276.00","15,364.54","15,235.84","15,235.84"
10/26/2021,"15,142.92","15,259.63","15,070.75","15,235.71"
10/25/2021,"15,142.92","15,259.63","15,070.75","15,226.71"
10/22/2021,"15,158.07","15,193.01","15,021.02","15,090.20"
10/21/2021,"15,104.80","15,222.26","15,094.14","15,215.70"
10/20/2021,"15,160.00","15,178.39","15,071.15","15,121.68"
10/19/2021,"15,073.13","15,137.85","15,049.73","15,129.09"
10/18/2021,"14,839.74","15,026.68","14,833.28","15,021.81"
10/15/2021,"14,891.24","14,904.98","14,847.97","14,897.34"
10/14/2021,"14,717.50","14,827.56","14,699.53","14,823.43"
10/13/2021,"14,537.17","14,589.28","14,471.88","14,571.64"
10/12/2021,"14,539.09","14,552.71","14,441.60","14,465.92"
10/11/2021,"14,540.08","14,665.99","14,482.62","14,486.20"
10/08/2021,"14,694.72","14,699.91","14,569.68","14,579.54"
10/07/2021,"14,631.80","14,755.72","14,615.14","14,654.02"
10/06/2021,"14,289.45","14,509.55","14,259.07","14,501.91"
10/05/2021,"14,312.86","14,508.65","14,299.78","14,433.83"
10/04/2021,"14,493.12","14,499.74","14,181.69","14,255.48"
10/01/2021,"14,494.93","14,606.82","14,324.01","14,566.70"
09/30/2021,"14,582.60","14,632.36","14,444.30","14,448.58"
09/29/2021,"14,614.88","14,676.62","14,493.67","14,512.44"
09/28/2021,"14,787.21","14,817.74","14,539.88","14,546.68"
09/27/2021,"14,954.18","15,003.16","14,864.96","14,969.97"
09/24/2021,"14,961.62","15,067.56","14,946.57","15,047.70"
09/23/2021,"14,960.00","15,085.44","14,932.52","15,052.24"
09/22/2021,"14,800.59","14,950.12","14,767.02","14,896.85"
09/21/2021,"14,803.36","14,847.03","14,696.47","14,746.40"
09/20/2021,"14,758.14","14,841.82","14,530.07","14,713.90"
09/17/2021,"15,163.36","15,166.56","14,998.73","15,043.97"
09/16/2021,"15,120.09","15,205.50","15,047.14","15,181.92"
09/15/2021,"15,071.34","15,174.38","14,984.68","15,161.53"
09/14/2021,"15,168.45","15,181.19","15,008.30","15,037.76"
09/13/2021,"15,211.43","15,215.44","15,030.85","15,105.58"
09/10/2021,"15,332.92","15,349.47","15,111.31","15,115.49"
09/09/2021,"15,296.06","15,352.38","15,245.18","15,248.25"
09/08/2021,"15,360.35","15,360.34","15,206.61","15,286.64"
09/07/2021,"15,375.98","15,403.44","15,343.28","15,374.33"
09/03/2021,"15,313.41","15,375.56","15,283.67","15,363.52"
09/02/2021,"15,358.47","15,380.07","15,285.35","15,331.18"
09/01/2021,"15,308.98","15,379.50","15,302.11","15,309.38"
08/31/2021,"15,262.88","15,278.96","15,202.67","15,259.24"
08/30/2021,"15,165.94","15,288.08","15,165.12","15,265.89"
08/27/2021,"14,969.77","15,144.48","14,966.52","15,129.50"
08/26/2021,"15,025.17","15,059.63","14,939.56","14,945.81"
08/25/2021,"15,039.03","15,059.43","15,011.58","15,041.86"
08/24/2021,"14,978.14","15,034.89","14,965.54","15,019.80"
08/23/2021,"14,776.98","14,963.47","14,776.98","14,942.65"
08/20/2021,"14,571.53","14,722.16","14,571.53","14,714.66"
08/19/2021,"14,423.16","14,610.76","14,423.16","14,541.79"
08/18/2021,"14,636.24","14,697.25","14,516.30","14,525.91"
08/17/2021,"14,670.56","14,716.95","14,550.88","14,656.18"
08/16/2021,"14,771.53","14,794.68","14,610.02","14,793.76"
08/13/2021,"14,825.07","14,850.61","14,797.22","14,822.90"
08/12/2021,"14,751.36","14,824.31","14,698.94","14,816.26"
08/11/2021,"14,834.38","14,842.50","14,692.41","14,765.14"
08/10/2021,"14,887.75","14,894.61","14,754.48","14,788.09"
08/09/2021,"14,855.76","14,883.81","14,802.69","14,860.18"
08/06/2021,"14,864.22","14,890.18","14,788.59","14,835.76"
08/05/2021,"14,794.08","14,896.47","14,776.03","14,895.12"
08/04/2021,"14,747.21","14,812.38","14,734.12","14,780.53"
08/03/2021,"14,714.00","14,762.60","14,584.09","14,761.29"
08/02/2021,"14,758.60","14,770.41","14,665.67","14,681.07"
07/30/2021,"14,615.85","14,728.79","14,615.85","14,672.68"
07/29/2021,"14,771.17","14,833.74","14,761.38","14,778.26"
07/28/2021,"14,715.66","14,798.88","14,645.63","14,762.58"
07/27/2021,"14,807.95","14,811.08","14,503.75","14,660.58"
07/26/2021,"14,821.03","14,863.65","14,790.49","14,840.71"
07/23/2021,"14,753.06","14,846.06","14,698.77","14,836.99"
07/22/2021,"14,652.72","14,694.19","14,617.87","14,684.60"
07/21/2021,"14,508.75","14,633.15","14,498.65","14,631.95"
07/20/2021,"14,330.46","14,555.75","14,271.23","14,498.88"
07/19/2021,"14,235.98","14,313.59","14,178.66","14,274.98"
07/16/2021,"14,597.51","14,623.02","14,413.32","14,427.24"
07/15/2021,"14,635.78","14,650.38","14,451.80","14,543.13"
07/14/2021,"14,780.90","14,790.55","14,632.95","14,644.95"
07/13/2021,"14,715.13","14,803.68","14,660.19","14,677.65"
07/12/2021,"14,743.86","14,761.08","14,672.63","14,733.24"
07/09/2021,"14,578.43","14,710.20","14,552.26","14,701.92"
07/08/2021,"14,409.20","14,610.06","14,371.59","14,559.78"
07/07/2021,"14,753.42","14,755.33","14,580.79","14,665.06"
07/06/2021,"14,661.55","14,687.00","14,529.80","14,663.64"
07/02/2021,"14,582.98","14,649.11","14,555.34","14,639.33"
07/01/2021,"14,493.69","14,533.55","14,439.40","14,522.38"
06/30/2021,"14,509.85","14,526.81","14,478.06","14,503.95"
06/29/2021,"14,509.19","14,535.97","14,471.38","14,528.33"
06/28/2021,"14,417.81","14,505.19","14,417.20","14,500.51"
06/25/2021,"14,400.81","14,409.08","14,337.65","14,360.39"
06/24/2021,"14,357.27","14,414.46","14,333.70","14,369.71"
06/23/2021,"14,263.38","14,317.66","14,246.30","14,271.73"
06/22/2021,"14,138.29","14,269.77","14,121.00","14,253.27"
06/21/2021,"14,047.42","14,150.78","13,960.04","14,141.48"
06/18/2021,"14,096.93","14,129.22","14,009.04","14,030.38"
06/17/2021,"13,999.13","14,196.21","13,998.93","14,161.35"
06/16/2021,"14,085.55","14,129.69","13,903.73","14,039.68"
06/15/2021,"14,166.64","14,171.02","14,052.16","14,072.86"
06/14/2021,"14,083.47","14,175.45","14,056.67","14,174.14"
06/11/2021,"14,030.85","14,069.42","14,006.59","14,069.42"
06/10/2021,"13,933.88","14,031.19","13,904.40","14,020.33"
06/09/2021,"13,980.23","14,003.50","13,906.45","13,911.75"
06/08/2021,"13,946.32","13,981.72","13,831.98","13,924.91"
06/07/2021,"13,802.82","13,889.11","13,784.89","13,881.72"
