Date,Open,High,Low,Close
12/31/1991,"580.87","586.35","578.29","586.34"
12/30/1991,"566.86","579.79","565.79","579.75"
12/27/1991,"560.14","566.69","559.31","565.71"
12/26/1991,"549.83","559.79","549.52","559.30"
12/24/1991,"544.27","550.98","543.86","549.56"
12/23/1991,"536.01","544.00","535.32","543.90"
12/20/1991,"537.12","539.92","534.57","535.76"
12/19/1991,"538.16","539.72","533.65","534.53"
12/18/1991,"539.34","540.27","537.08","539.84"
12/17/1991,"543.69","544.09","539.20","539.70"
12/16/1991,"540.91","543.99","540.39","543.73"
12/13/1991,"536.90","541.11","536.07","540.90"
12/12/1991,"532.39","536.08","531.64","536.02"
12/11/1991,"535.46","536.80","529.17","531.64"
12/10/1991,"534.92","535.97","531.68","534.23"
12/09/1991,"536.52","538.90","534.88","535.35"
12/06/1991,"533.75","537.54","531.52","536.30"
12/05/1991,"535.12","536.74","533.16","534.03"
12/04/1991,"534.08","536.13","533.18","535.28"
12/03/1991,"531.44","533.68","530.85","533.34"
12/02/1991,"522.23","530.93","518.53","530.91"
11/29/1991,"523.90","524.30","521.67","523.90"
11/27/1991,"522.78","522.93","521.31","522.78"
11/26/1991,"522.23","525.24","517.90","522.23"
11/25/1991,"522.88","526.59","522.81","522.88"
11/22/1991,"526.46","530.96","523.98","526.46"
11/21/1991,"530.33","530.48","526.12","530.33"
11/20/1991,"526.12","527.97","523.52","526.12"
11/19/1991,"523.47","534.69","516.34","523.47"
11/18/1991,"534.73","535.14","525.47","534.73"
11/15/1991,"531.28","554.02","531.17","531.28"
11/14/1991,"554.84","558.29","552.93","554.84"
11/13/1991,"556.17","556.39","550.86","556.17"
11/12/1991,"555.68","556.04","550.76","555.68"
11/11/1991,"550.71","551.21","548.16","550.71"
11/08/1991,"548.08","549.31","545.29","548.08"
11/07/1991,"545.28","545.55","539.50","545.28"
11/06/1991,"539.48","540.94","537.72","539.48"
11/05/1991,"538.82","540.41","537.13","538.82"
11/04/1991,"537.50","540.95","536.65","537.50"
11/01/1991,"540.93","543.64","539.87","540.93"
10/31/1991,"542.98","543.11","540.92","542.98"
10/30/1991,"541.32","541.52","534.54","541.32"
10/29/1991,"534.51","534.62","529.29","534.51"
10/28/1991,"529.41","529.46","525.14","529.41"
10/25/1991,"525.13","528.82","524.89","525.13"
10/24/1991,"528.75","535.68","527.63","528.75"
10/23/1991,"535.17","538.45","534.11","535.17"
10/22/1991,"537.14","539.58","536.82","537.14"
10/21/1991,"536.96","539.20","535.70","536.96"
10/18/1991,"538.90","539.22","536.27","538.90"
10/17/1991,"536.27","540.96","535.27","536.27"
10/16/1991,"540.94","541.05","534.13","540.94"
10/15/1991,"534.11","534.12","525.67","534.11"
10/14/1991,"525.66","525.69","519.00","525.66"
10/11/1991,"519.05","519.16","515.94","519.05"
10/10/1991,"515.94","516.45","513.08","515.94"
10/09/1991,"513.81","517.48","513.80","513.81"
10/08/1991,"517.25","517.28","514.73","517.25"
10/07/1991,"516.20","520.45","515.87","516.20"
10/04/1991,"520.40","522.69","519.90","520.40"
10/03/1991,"520.51","526.31","519.78","520.51"
10/02/1991,"526.33","529.21","526.09","526.33"
10/01/1991,"528.51","528.91","525.86","528.51"
09/30/1991,"526.88","527.01","522.28","526.88"
09/27/1991,"524.48","529.29","523.96","524.48"
09/26/1991,"526.94","528.37","524.88","526.94"
09/25/1991,"527.82","528.45","525.97","527.82"
09/24/1991,"526.47","526.55","522.99","526.47"
09/23/1991,"524.69","527.22","524.02","524.69"
09/20/1991,"527.19","528.23","522.69","527.19"
09/19/1991,"522.67","523.55","518.57","522.67"
09/18/1991,"518.55","518.96","513.80","518.55"
09/17/1991,"515.17","516.23","513.85","515.17"
09/16/1991,"515.68","517.14","514.08","515.68"
09/13/1991,"516.71","522.03","516.04","516.71"
09/12/1991,"521.13","521.15","514.77","521.13"
09/11/1991,"514.76","514.86","511.23","514.76"
09/10/1991,"511.28","518.50","510.97","511.28"
09/09/1991,"518.07","518.14","516.30","518.07"
09/06/1991,"516.94","518.36","516.39","516.94"
09/05/1991,"516.93","518.82","516.36","516.93"
09/04/1991,"517.92","521.63","517.16","517.92"
09/03/1991,"520.91","526.58","520.80","520.91"
08/30/1991,"525.68","526.65","523.54","525.68"
08/29/1991,"526.39","527.76","525.33","526.39"
08/28/1991,"526.29","526.48","521.64","526.29"
08/27/1991,"521.75","522.26","519.26","521.75"
08/26/1991,"521.38","521.48","519.28","521.38"
08/23/1991,"521.06","521.52","516.12","521.06"
08/22/1991,"518.30","519.39","516.25","518.30"
08/21/1991,"517.97","517.97","502.14","517.97"
08/20/1991,"502.05","504.02","497.70","502.05"
08/19/1991,"497.64","511.98","487.00","497.64"
08/16/1991,"512.47","515.85","510.83","512.47"
08/15/1991,"515.67","518.52","515.28","515.67"
08/14/1991,"517.68","517.98","514.42","517.68"
08/13/1991,"514.40","515.27","510.00","514.40"
08/12/1991,"510.00","510.23","507.14","510.00"
08/09/1991,"508.31","509.97","507.53","508.31"
08/08/1991,"509.39","510.26","507.47","509.39"
08/07/1991,"507.46","507.71","505.10","507.46"
08/06/1991,"505.20","505.47","501.40","505.20"
08/05/1991,"502.61","505.68","502.46","502.61"
08/02/1991,"505.67","507.33","504.17","505.67"
08/01/1991,"504.15","504.32","501.63","504.15"
07/31/1991,"502.04","502.21","498.28","502.04"
07/30/1991,"498.27","498.35","493.36","498.27"
07/29/1991,"493.35","493.56","490.95","493.35"
07/26/1991,"492.69","493.05","490.27","492.69"
07/25/1991,"490.28","490.57","487.35","490.28"
07/24/1991,"487.42","490.38","487.40","487.42"
07/23/1991,"489.65","496.08","489.48","489.65"
07/22/1991,"494.99","497.72","494.40","494.99"
07/19/1991,"497.00","498.75","496.26","497.00"
07/18/1991,"496.80","497.00","493.42","496.80"
07/17/1991,"493.42","493.60","491.29","493.42"
07/16/1991,"493.60","497.43","493.58","493.60"
07/15/1991,"496.19","496.45","492.67","496.19"
07/12/1991,"492.71","492.76","488.11","492.71"
07/11/1991,"488.37","488.50","486.20","488.37"
07/10/1991,"487.17","489.33","483.63","487.17"
07/09/1991,"483.64","485.13","479.55","483.64"
07/08/1991,"479.51","479.59","471.17","479.51"
07/05/1991,"474.05","475.10","473.15","474.05"
07/03/1991,"474.32","478.77","473.09","474.32"
07/02/1991,"478.78","481.30","478.62","478.78"
07/01/1991,"481.31","481.60","475.91","481.31"
06/28/1991,"475.92","476.51","470.95","475.92"
06/27/1991,"476.24","476.35","473.07","476.24"
06/26/1991,"473.08","473.98","470.92","473.08"
06/25/1991,"473.30","478.25","472.87","473.30"
06/24/1991,"475.23","485.83","475.09","475.23"
06/21/1991,"485.82","487.73","485.30","485.82"
06/20/1991,"485.88","486.32","482.54","485.88"
06/19/1991,"485.36","491.59","484.27","485.36"
06/18/1991,"491.59","494.74","490.80","491.59"
06/17/1991,"494.32","496.03","494.09","494.32"
06/14/1991,"495.07","495.27","491.16","495.07"
06/13/1991,"491.14","491.76","489.83","491.14"
06/12/1991,"491.05","496.62","488.99","491.05"
06/11/1991,"496.62","498.77","495.68","496.62"
06/10/1991,"495.85","498.89","495.39","495.85"
06/07/1991,"498.54","502.94","496.90","498.54"
06/06/1991,"502.94","505.97","502.55","502.94"
06/05/1991,"505.20","508.07","504.73","505.20"
06/04/1991,"507.25","507.29","504.28","507.25"
06/03/1991,"507.10","507.47","504.33","507.10"
05/31/1991,"506.11","506.16","501.92","506.11"
05/30/1991,"503.19","503.78","498.88","503.19"
05/29/1991,"499.05","500.30","497.10","499.05"
05/28/1991,"497.17","497.20","492.65","497.17"
05/24/1991,"492.67","492.82","489.60","492.67"
05/23/1991,"489.60","490.04","487.29","489.60"
05/22/1991,"487.29","487.96","483.60","487.29"
05/21/1991,"483.60","484.70","480.09","483.60"
05/20/1991,"480.10","481.90","479.20","480.10"
05/17/1991,"481.38","481.74","478.36","481.38"
05/16/1991,"481.77","482.76","478.10","481.77"
05/15/1991,"478.08","488.78","476.53","478.08"
05/14/1991,"488.79","493.92","488.05","488.79"
05/13/1991,"493.93","497.53","493.44","493.93"
05/10/1991,"493.42","500.02","493.08","493.42"
05/09/1991,"497.81","497.97","492.57","497.81"
05/08/1991,"492.51","493.21","489.88","492.51"
05/07/1991,"491.51","494.15","491.31","491.51"
05/06/1991,"491.48","492.12","489.27","491.48"
05/03/1991,"492.10","492.20","489.72","492.10"
05/02/1991,"491.13","492.36","487.87","491.13"
05/01/1991,"487.85","487.89","481.45","487.85"
04/30/1991,"484.72","487.73","479.55","484.72"
04/29/1991,"487.74","496.10","487.65","487.74"
04/26/1991,"494.64","496.04","492.27","494.64"
04/25/1991,"496.03","498.84","495.86","496.03"
04/24/1991,"498.45","498.68","495.88","498.45"
04/23/1991,"496.08","498.43","494.32","496.08"
04/22/1991,"494.38","501.17","493.06","494.38"
04/19/1991,"501.19","506.62","500.41","501.19"
04/18/1991,"506.62","511.35","506.41","506.62"
04/17/1991,"511.31","512.75","506.82","511.31"
04/16/1991,"506.75","506.89","500.29","506.75"
04/15/1991,"500.84","501.73","497.64","500.84"
04/12/1991,"501.62","502.32","498.47","501.62"
04/11/1991,"499.31","499.54","490.80","499.31"
04/10/1991,"490.76","493.81","488.75","490.76"
04/09/1991,"492.46","497.52","491.90","492.46"
04/08/1991,"495.65","495.84","493.81","495.65"
04/05/1991,"495.79","499.43","493.98","495.79"
04/04/1991,"497.57","499.55","494.29","497.57"
04/03/1991,"495.05","496.41","491.31","495.05"
04/02/1991,"491.20","491.23","480.88","491.20"
04/01/1991,"480.86","482.31","479.07","480.86"
03/28/1991,"482.30","483.48","481.71","482.30"
03/27/1991,"482.37","483.02","478.62","482.37"
03/26/1991,"478.57","478.76","468.53","478.57"
03/25/1991,"468.49","469.14","464.13","468.49"
03/22/1991,"464.15","464.85","462.97","464.15"
03/21/1991,"464.60","469.46","464.17","464.60"
03/20/1991,"466.09","466.23","461.79","466.09"
03/19/1991,"462.81","466.21","458.98","462.81"
03/18/1991,"466.27","468.10","463.53","466.27"
03/15/1991,"466.29","468.60","464.26","466.29"
03/14/1991,"467.79","472.76","466.65","467.79"
03/13/1991,"468.18","468.34","461.01","468.18"
03/12/1991,"461.40","467.16","461.17","461.40"
03/11/1991,"467.15","475.13","466.54","467.15"
03/08/1991,"475.11","478.90","475.02","475.11"
03/07/1991,"475.74","476.23","472.33","475.74"
03/06/1991,"473.80","478.63","473.11","473.80"
03/05/1991,"473.05","473.57","461.14","473.05"
03/04/1991,"461.13","461.39","456.76","461.13"
03/01/1991,"456.73","456.74","450.26","456.73"
02/28/1991,"453.05","453.65","450.27","453.05"
02/27/1991,"450.82","450.96","446.79","450.82"
02/26/1991,"447.71","451.17","446.39","447.71"
02/25/1991,"451.09","454.47","448.98","451.09"
02/22/1991,"448.95","453.05","446.27","448.95"
02/21/1991,"446.38","447.73","446.02","446.38"
02/20/1991,"446.02","450.32","445.72","446.02"
02/19/1991,"450.32","450.32","447.45","450.32"
02/15/1991,"448.71","449.19","444.31","448.71"
02/14/1991,"444.31","450.40","443.04","444.31"
02/13/1991,"447.97","448.02","442.79","447.97"
02/12/1991,"443.98","445.46","442.47","443.98"
02/11/1991,"444.10","444.26","436.77","444.10"
02/08/1991,"436.80","437.04","433.04","436.80"
02/07/1991,"435.01","442.53","433.34","435.01"
02/06/1991,"439.24","439.34","430.33","439.24"
02/05/1991,"432.20","432.23","424.80","432.20"
02/04/1991,"424.80","425.03","417.52","424.80"
02/01/1991,"417.69","418.99","413.45","417.69"
01/31/1991,"414.20","414.29","408.45","414.20"
01/30/1991,"408.53","408.57","400.31","408.53"
01/29/1991,"400.61","400.69","395.60","400.61"
01/28/1991,"396.80","397.68","393.56","396.80"
01/25/1991,"394.28","395.14","390.96","394.28"
01/24/1991,"391.33","391.80","383.91","391.33"
01/23/1991,"383.91","384.19","378.03","383.91"
01/22/1991,"379.03","381.79","378.29","379.03"
01/21/1991,"379.90","379.93","374.20","379.90"
01/18/1991,"376.99","377.07","371.72","376.99"
01/17/1991,"375.81","380.38","365.38","375.81"
01/16/1991,"365.20","365.28","357.20","365.20"
01/15/1991,"357.30","357.48","354.47","357.30"
01/14/1991,"355.75","361.76","352.85","355.75"
01/11/1991,"361.80","362.18","360.53","361.80"
01/10/1991,"361.92","362.02","357.43","361.92"
01/09/1991,"357.45","365.02","357.09","357.45"
01/08/1991,"359.00","360.54","358.13","359.00"
01/07/1991,"360.24","367.24","360.11","360.24"
01/04/1991,"367.24","367.96","365.83","367.24"
