Date,Open,High,Low,Close,GDP,Unemployment Rate,Interest Rate,M2 Money Supply,Inflation
1990-02-02,422.21,423.35,417.51,422.21,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-05,424.73,424.88,422.19,424.73,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-06,423.99,425.24,422.08,423.99,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-07,426.79,426.95,421.75,426.79,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-08,427.32,430.29,426.79,427.32,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-09,428.84,429.06,427.32,428.84,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-12,426.38,428.87,425.76,426.38,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-13,425.75,427.05,423.85,425.75,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-14,426.56,427.25,425.46,426.56,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-15,429.61,429.75,425.9,429.61,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-16,429.01,430.92,428.85,429.01,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-20,423.83,429.1,421.8,423.83,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-21,421.52,423.72,418.31,421.52,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-22,422.75,425.14,421.53,422.75,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-23,419.52,422.7,418.05,419.52,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-26,420.95,420.96,418.65,420.95,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-27,422.61,423.56,420.96,422.61,5872.701,5.3,8.5,3179.2,4.91755923
1990-02-28,425.83,425.83,422.58,425.83,5872.701,5.3,8.5,3179.2,4.91755923
1990-03-01,427.22,427.8,424.44,427.22,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-02,431.02,431.03,427.06,431.02,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-05,430.15,433.2,429.36,430.15,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-06,432.32,432.67,428.56,432.32,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-07,432.47,433.52,432.03,432.47,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-08,436.5,436.68,432.41,436.5,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-09,436.76,437.17,435.41,436.76,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-12,436.56,436.81,434.94,436.56,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-13,434.58,437.05,434.55,434.58,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-14,436.15,436.44,434.46,436.15,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-15,438.06,438.38,436.02,438.06,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-16,442.16,443.09,438.07,442.16,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-19,442.91,443.01,439.01,442.91,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-20,440.08,443.31,439.61,440.08,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-21,439.3,440.96,439.19,439.3,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-22,434.51,439.36,433.12,434.51,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-23,437.25,437.82,434.52,437.25,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-26,438.84,439.97,437.25,438.84,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-27,439.5,439.79,436.93,439.5,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-28,436.69,439.5,435.64,436.69,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-29,435.42,436.84,434.55,435.42,5872.701,5.2,8.5,3190.1,5.19152475
1990-03-30,435.54,436.02,433.19,435.54,5872.701,5.2,8.5,3190.1,5.19152475
1990-04-02,433.18,435.46,430.77,433.18,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-03,437.65,437.66,433.19,437.65,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-04,435.42,438.37,434.8,435.42,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-05,433.42,436.13,433.29,433.42,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-06,430.9,434.0,430.61,430.9,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-09,430.18,431.25,429.88,430.18,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-10,431.9,432.14,429.84,431.9,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-11,433.53,433.79,431.84,433.53,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-12,436.31,436.75,433.53,436.31,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-16,436.7,438.5,436.12,436.7,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-17,435.42,436.68,433.44,435.42,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-18,431.52,436.17,431.27,431.52,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-19,429.0,431.5,428.81,429.0,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-20,425.79,429.79,424.92,425.79,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-23,420.08,425.76,418.15,420.08,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-24,419.19,422.34,418.68,419.19,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-25,420.56,420.79,419.17,420.56,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-26,421.06,422.02,419.37,421.06,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-27,417.98,421.48,417.44,417.98,5960.028,5.4,8.5,3201.6,5.276985365
1990-04-30,420.07,420.14,416.95,420.07,5960.028,5.4,8.5,3201.6,5.276985365
1990-05-01,421.85,422.33,420.07,421.85,5960.028,5.4,8.5,3200.6,5.166732439
1990-05-02,423.58,423.59,421.87,423.58,5960.028,5.4,8.5,3200.6,5.166732439
1990-05-03,425.44,426.64,423.6,425.44,5960.028,5.4,8.5,3200.6,5.166732439
1990-05-04,428.61,428.64,425.48,428.61,5960.028,5.4,8.5,3200.6,5.166732439
